AB,"Aschaffenburg, Bavaria"
SFT,"Staßfurt, Saxony Anhalt"
SG,"Solingen, North-Rhine-Westphalia"
SGH,"Sangerhausen, Saxony-Anhalt"
SH,"Schleswig-Holstein Land official vehicles"
SHA,"Schwäbisch Hall, Baden-Württemberg"
SHG,"Stadthagen & Schaumburg, Lower Saxony"
SHK,"Saale-Holzland-Kreis, Thuringia"
SHL,"Suhl, Thuringia"
SI,"Siegen-Wittgenstein, North-Rhine-Westphalia"
SIG,"Sigmaringen, Baden-Württemberg"
SIM,"Simmern & Rhein-Hunsrück-Kreis, Rhineland Palatinate"
SK,"Saalkreis, Saxony-Anhalt"
SL,"Schleswig-Flensburg, Schleswig-Holstein"
SLE,"Schleiden (Eifel), North-Rhine-Westphalia"
SLF,"Saalfeld-Rudolstadt, Thuringia"
SLG,"Saulgau, Baden-Württemberg"
SLN,"Schmölin, Thuringia"
SLS,"Saarlouis, Saarland"
SLÜ,"Schlüchtern, Hesse"
SLZ,"Bad Salzungen, Thuringia"
SM,"Schmalkalden-Meiningen, Thuringia"
SMÜ,"Schwabmünchen, Bavaria"
SN,"Schwerin, Mecklenburg-Vorpommern"
SNH,"Sinsheim, Baden-Württemberg"
SO,"Soest, North-Rhine-Westphalia"
SOB,"Schrobenhausen, Bavaria"
SOG,"Schongau, Bavaria"
SOK,"Saale-Orla-Kreis, Thuringia"
SOL,"Soltau, Lower Saxony"
SÖM,"Sömmerda, Thuringia"
SON,"Sonneberg, Thuringia"
SP,"Speyer, Rhineland Palatinate"
SPB,"Spremberg, Brandenburg"
SPN,"Spree-Neiße, Brandenburg"
SPR,"Springe, Lower Saxony"
SR,"Straubing & Straubing-Bogen, Bavaria"
SRB,"Strausberg, Brandenburg"
SRO,"Stadtroda, Thuringia"
ST,"Steinfurt, North-Rhine-Westphalia (since 1975; previously used for Stade in 1956)"
STA,"Starnberg, Bavaria"
STB,"Sternberg, Mecklenburg-Vorpommern"
STD,"Stade, Lower Saxony"
STE,"Staffelstein, Bavaria"
STH,"Stadthagen, Lower Saxony"
STL,"Stollberg, Saxony"
STO,"Stockach, Baden-Württemberg"
SU,"Siegburg & Rhein-Sieg-Kreis, North-Rhine-Westphalia"
SUL,"Sulzbach-Rosenberg, Bavaria"
SÜW,"Südliche Weinstraße, Rhineland Palatinate"
SW,"Schweinfurt, Bavaria"
SWA,"Bad Schwalbach & Rheingau-Taunus-Kreis, Hesse"
SY,"Syke, Lower Saxony"
SZ,"Salzgitter, Lower Saxony"
SZB,"Schwarzenberg, Saxony"
TBB,"Tauberbischofsheim & Main-Tauber-Kreis, Baden-Württemberg"
TE,"Teterow, Mecklenburg-Vorpommern (1991-c1994;previously used for Tecklenburg, North-Rhine-Westphalia before 1974)"
TF,"Teltow-Fläming, Brandenburg"
TG,"Torgau, Saxony"
THL,"Thuringia State (Thüringen Land) official vehicles"
THW,"Technical help (Technisches Hilfswerk) vehicles"
TIR,"Tirschenreuth, Bavaria"
TO,"Torgau-Oschatz, Saxony"
TÖL,"Bad Tölz-Wolfratshausen, Bavaria"
TÖN,"Tönning, Schleswig-Holstein"
TP,"Templin, Brandenburg"
TR,"Trier, Rhineland Palatinate"
TS,"Traunstein, Bavaria"
TT,"Tettnang, Baden-Württemberg"
TÜ,"Tübingen, Baden-Württemberg"
TUT,"Tuttlingen, Baden-Württemberg"
ÜB,"Überlingen, Baden-Württemberg"
UE,"Uelzen, Lower Saxony"
UEM,"Ueckermünde, Mecklenburg-Vorpommern"
UER,"Uecker-Randow, Mecklenburg-Vorpommern"
UFF,"Uffenheim, Bavaria"
UH,"Unstrut-Hainich, Thuringia"
UL,"Ulm & Alb-Donau-Kreis, Baden-Württemberg"
UM,"Uckermark, Brandenburg"
UN,"Unna, North-Rhine-Westphalia"
USI,"Usingen, Hesse"
V,"Vogtlandkreis, Saxony"
VAI,"Vaihingen, Baden-Württemberg"
VB,"Vogelsbergkreis, Hesse"
VEC,"Vechta, Lower Saxony"
VER,"Verden, Lower Saxony"
VIB,"Vilsbiburg, Bavaria"
VIE,"Viersen, North-Rhine-Westphalia"
VIT,"Viechtach, Bavaria"
VK,"Völklingen, Saarland"
VL,"Villingen, Baden-Württemberg"
VOF,"Vilshofen, Bavaria"
VOH,"Vohenstrauß, Bavaria"
VS,"Villingen-Schwenningen & Schwarzwald-Baar-Kreis, Baden-Württemberg"
W,"Wuppertal, North-Rhine-Westphalia"
WA,"Waldeck, Hesse"
WAF,"Kreis Warendorf, North-Rhine-Westphalia"
WAK,"Wartburgkreis, Thuringia"
WAN,"Wanne-Eickel, North-Rhine-Westphalia"
WAR,"Warburg, North-Rhine-Westphalia"
WAT,"Wattenscheid, North-Rhine-Westphalia"
WB,"Wittenberg, Saxony-Anhalt"
WBS,"Worbis, Thuringia"
WD,"Weidenbrück, North-Rhine-Westphalia"
WDA,"Werdau, Saxony"
WE,"Weimar, Thuringia"
WEB,"Westerburg, Rhineland Palatinate"
WEG,"Wegscheid, Bavaria"
WEL,"Weilburg, Hesse"
WEM,"Wesermünde, Lower Saxony"
WEN,"Weiden in der Oberpfalz, Bavaria"
WER,"Wertingen, Bavaria"
WES,"Wesel, North-Rhine-Westphalia"
WF,"Wolfenbüttel, Lower Saxony"
WG,"Wangen, Baden-Württemberg"
WHV,"Wilhelmshaven, Lower Saxony"
WI,"Wiesbaden, Hesse"
WIL,"Wittlich & Bernkastel-Wittlich, Rhineland Palatinate"
WIS,"Wismarer Land"
WIT,"Witten, North-Rhine-Westphalia"
WIZ,"Witzenhausen, Hesse"
WK,"Wittstock, Brandenburg"
WL,"Winsen (Luhe) & Harburg, Lower Saxony"
WLG,"Wolgast, Mecklenburg-Vorpommern"
WM,"Weilheim-Schongau, Bavaria"
WMS,"Wolmirstedt, Saxony Anhalt"
WN,"Waiblingen & Rems-Murr-Kreis, Baden-Württemberg"
WND,"St Wendel, Saarland"
WO,"Worms, Rhineland Palatinate"
WOB,"Wolfsburg, Lower Saxony Volkswagen Massive Plant is here; hence the Wolfsburg Edition"
WOH,"Wolfhagen, Hesse"
WOL,"Wolfach, Baden-Württemberg"
WOR,"Wolfratshausen, Bavaria"
WOS,"Wolfstein, Bavaria"
WR,"Wernigerode, Saxony-Anhalt"
WRN,"Waren, Mecklenburg-Vorpommern"
WS,"Wasserburg, Bavaria"
WSF,"Weißenfels, Saxony-Anhalt"
WST,"Westerstede & Ammerland, Lower Saxony"
WSW,"Weißwasser, Saxony"
WT,"Waldshut, Baden-Württemberg"
WTL,"Wittlage, Lower Saxony"
WTM,"Wittmund, Lower Saxony"
WÜ,"Würzburg, Bavaria"
WUG,"Weißenburg-Gunzenhausen, Bavaria"
WUM,"Waldmünchen, Bavaria"
WUN,"Wunsiedel am Fichtelgebirge, Bavaria"
WUR,"Wurzen, Saxony"
WW,"Westerwaldkreis, Rhineland Palatinate"
WZ,"Wetzlar, Hesse"
WZL,"Wanzleben, Saxony Anhalt"
X,"NATO Forces vehicles"
Y,"Armed Forces vehicles (Bundeswehr)"
Z,"Zwickauer Land, Saxony (since 1991; previously used for Customs (Zoll) vehicles before 1988)"
ZE,"Zerbst, Saxony-Anhalt"
ZEL,"Zell, Rhineland Palatinate"
ZI,"Löbau-Zittau"
ZIG,"Ziegenhain, Hesse"
ZP,"Zschopau, Saxony"
ZR,"Zeulenroda, Thuringia"
ZS,"Zossen, Brandenburg"
ZW,"Zweibrücken, Rhineland Palatinate"
ZZ,"Zeitz, Saxony Anhalt"
